what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1462214129329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1462214131263
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214132433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214158813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214185863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214215160
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1462214255549
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462214255767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214351504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214419271
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214419443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214421502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214433763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214434762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1462214446134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214453045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214453201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214454964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214459597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214506990
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1462214543759
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1462214550249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214550530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214555475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214555506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214558532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214558565
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1462214558658
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214558721
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1462214558736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214583057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214583930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214583946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214587582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214587597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214588377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214588393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214594805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214594805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214595663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214595679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214600812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214600828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214601873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214601889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214613637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214613652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214616133
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462214647834
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462214649051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1462214652935
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462214657178
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1462214664729
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462214664978
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1462214686304
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462214686538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214691748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1462214724492
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1462214746145
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1462214894080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1462214926903
